EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5566032,MAUI CO.,HAIKU,02/24/1996,2200,Flood, , ,0,0,0,0,HI,HST, ,2045143,C,9,HFO,0,0, , , , , , , , ,HAIKU,02/25/1996,300, , , , ,"","Heavy showers along the north slopes of Haleakala and the Hana Road caused heavy runoff.  The Haiku Road was closed due to high water.  A weather spotter in Haiku reported 7.7 inches of rain in 10 hours.",1
5572949,MAUI CO.,MAUI,MOLOKAI,LANAI,03/03/1996,730,Flood, , ,0,0,0,0,HI,HST, ,2049392,C,9,HFO,0,0, , , , , , , , ,MAUI,MOLOKAI,LANAI,03/03/1996,1030, , , , ,"","",2
5572952,MAUI CO.,HAIKU TO ULUPALAKUA,03/03/1996,2045,Flood, , ,0,0,0,0,HI,HST, ,2049395,C,9,HFO,0,0, , , , , , , , ,HAIKU TO ULUPALAKUA,03/03/1996,2345, , , , ,"","",3
5572966,MAUI CO.,MAKAWAO/PUKALANI,03/30/1996,1550,Flood, , ,0,0,0,0,HI,HST, ,2049409,C,9,HFO,0,0, , , , , , , , ,MAKAWAO/PUKALANI,03/30/1996,1850, , , , ,"","",4
5572967,MAUI CO.,PAIA/HANA,03/30/1996,2000,Flood, , ,0,0,0,0,HI,HST, ,1023519,C,9,HFO,0,0, , , , , , , , ,PAIA/HANA,03/31/1996,800, , , , ,"","",5
5572968,MAUI CO.,WEST MAUI/MOLOKAI,03/30/1996,2100,Flood, , ,0,0,0,0,HI,HST, ,1023520,C,9,HFO,0,0, , , , , , , , ,WEST MAUI/MOLOKAI,03/31/1996,800, , , , ,"","",6
5573000,MAUI CO.,LANAI CITY,06/09/1996,1200,Flood, , ,0,0,0,0,HI,HST, ,2049921,C,9,HFO,0,0, , , , , , , , ,LANAI CITY,06/09/1996,1400, , , , ,"","Street flooding reported in the Lanai City area.",7
5573004,MAUI CO.,KAUNAKAKAI/KAMALO,06/09/1996,2100,Flood, , ,0,0,0,0,HI,HST, ,2049925,C,9,HFO,0,0, , , , , , , , ,KAUNAKAKAI/KAMALO,06/09/1996,2210, , , , ,"","Heavy showers produced runoff that washed out parts of the roadway along the south shore of Molokai between Kaunakakai and Kamalo.",8
5583332,MAUI CO.,MOLOKAI,11/12/1996,2030,Flood, , ,0,0,0,0,HI,HST, ,2057227,C,9,HFO,0,0, , , , , , , , ,MOLOKAI,11/13/1996,130, , , , ,"","Flooding occurred across the Kamehameha Highway in the vicinity of Kawela Stream, near mileposts 7 and 8, and near Kamalo.  Water was on the Maunawainui Bridge, and minor street flooding occurred in Hoolehua.",9
5583334,MAUI CO.,WEST MAUI,11/13/1996,545,Flood, , ,0,0,0,0,HI,HST, ,2057228,C,9,HFO,0,0, , , , , , , , ,WEST MAUI,11/13/1996,1515, , , , ,"","Several lines of heavy showers and thunderstorms moved across Maui County from the southwest. On Maui, the Honoapiilani Highway was flooded and some mudslides occurred from McGregor Point to Napili.  The Piilani Highway was closed due to high water in spots from Milepost 36 to 37 between Kaupo and Kipahulu.  Minor flooding and ponding of roads was common across Maui.",10
