StreamStats Gage Page

Gage Information
Name,Value
USGS Station Number,"16604500"
Station Name,"Iao Stream at Kepaniwai Park nr Wailuku, Maui, HI"
Station Type,"Gaging Station, continuous record"
Latitude,"20.88235"
Longitude,"-156.5394"
NWIS Latitude,"20.88238889"
NWIS Longitude,"-156.5392778"
Is regulated?,"false"
Agency,"United States Geological Survey"
NWIS Discharge Period of Record,"1983-04-30 - 2023-12-01"

Physical Characteristics

"Precipitation Statistics"
"Characteristic Name","Value","Units","Citation"
"24 Hour 2 Year Precipitation","8.997859","inches","150"
"24 Hour 10 Year Precipitation","14.1714","inches","150"
"24 Hour 25 Year Precipitation","17.40689","inches","150"
"24 Hour 50 Year Precipitation","20.02297","inches","150"
"24 Hour 100 Year Precipitation","22.76489","inches","150"
"Mean Annual Precipitation","185.7157","inches","150"
"6 Hour 100 Year Precipitation","12.51913","inches","150"
"48 Hour 2 Year Precipitation","12.48121","inches","150"
"48 Hour 5 Year Precipitation","16.55461","inches","150"
"I60M2Y","3.138151","inches","150"
"I60M5Y","3.994136","inches","150"
"I60M10Y","4.655895","inches","150"
"I60M25Y","5.561282","inches","150"
"I60M50Y","6.280036","inches","150"
"I60M100Y","7.032848","inches","150"
"I60M500Y","8.939811","inches","150"
"6 Hour 2 Year Precipitation","5.652623","inches","150"
"I6H5Y","7.285036","inches","150"
"I6H10Y","8.499777","inches","150"
"I6H25Y","10.09942","inches","150"
"I6H50Y","11.30633","inches","150"
"I6H500Y","15.4339","inches","150"
"24 Hour 5 Year Precipitation","11.86877","inches","150"
"24 Hour 500 Year Precipitation","29.88981","inches","150"
"I48H10Y","19.83543","inches","150"
"I48H25Y","24.46376","inches","150"
"I48H50Y","28.21582","inches","150"
"I48H100Y","32.18446","inches","150"
"I48H500Y","42.57471","inches","150"
"I60M50Y","6.3","inches","231"
"I60M100Y","7.1","inches","231"
"I60M10Y","4.7","inches","231"
"I60M25Y","5.6","inches","231"
"6 Hour 2 Year Precipitation","5.7","inches","231"
"I6H5Y","7.3","inches","231"
"I60M500Y","9","inches","231"
"I60M2Y","3.2","inches","231"
"I60M5Y","4","inches","231"
"Mean Annual Precipitation","177.8","inches","231"
"24 Hour 50 Year Precipitation","20.1","inches","231"
"24 Hour 100 Year Precipitation","22.9","inches","231"
"24 Hour 10 Year Precipitation","14.3","inches","231"
"24 Hour 25 Year Precipitation","17.5","inches","231"
"48 Hour 5 Year Precipitation","16.6","inches","231"
"I48H10Y","19.9","inches","231"
"24 Hour 500 Year Precipitation","30.1","inches","231"
"48 Hour 2 Year Precipitation","12.5","inches","231"
"I6H50Y","11.4","inches","231"
"6 Hour 100 Year Precipitation","12.6","inches","231"
"I6H10Y","8.5","inches","231"
